feature_set,classifier,best_params,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc
f_11,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8079443079443079,0.5786120564296285,0.055416820816376854,0.10074184650471396,0.7160651855003277,0.8060923681624631,0.532258064516129,0.05536912751677853,0.10030395136778116,0.3860179851419041
f_11,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7947583947583947,0.4650875223990453,0.34236034036256013,0.39424298029183513,0.7320548273135791,0.800524074680642,0.4845605700712589,0.3422818791946309,0.40117994100294985,0.47762037301158883
f_11,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7596232596232596,0.38951706577048173,0.4051221746560259,0.3945996031295962,0.6937220503921174,0.7674418604651163,0.40716612377850164,0.41946308724832215,0.4132231404958678,0.46998018035782724
f_11,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.6943079443079443,0.3340219168695785,0.5703182530873985,0.42126776276119154,0.6966469679067271,0.69210612512283,0.33365570599613154,0.5788590604026845,0.4233128834355828,0.4973644909622642
f_11,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.6827190827190828,0.34356745676026,0.6866008667617991,0.4577437954504736,0.7515507041746516,0.666557484441533,0.336687306501548,0.7298657718120806,0.4608050847457627,0.5596440465266145
f_12,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8092956592956593,0.7492099401730131,0.03358481757482868,0.06409190765513043,0.7243985796096434,0.8070750081886668,0.6521739130434783,0.025167785234899327,0.048465266558966075,0.43382315834325036
f_12,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7958640458640459,0.46980217795247914,0.3599937459260434,0.4074795208194513,0.7480141145519679,0.8074025548640681,0.5091743119266054,0.3724832214765101,0.43023255813953487,0.5020799950015905
f_12,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7631449631449632,0.3945289442490866,0.39189392738227363,0.3914654233832749,0.695167754513833,0.7854569276121848,0.4460694698354662,0.40939597315436244,0.42694663167104113,0.48538093636553337
f_12,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7017199017199018,0.3436208305169441,0.5812333738526856,0.43188804421484617,0.7106718606296916,0.7107762856207009,0.35692921236291125,0.6006711409395973,0.44777986241400874,0.5177782310240023
f_12,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7013104013104013,0.35917013125971725,0.6746414918168525,0.468486845973035,0.7610229202821722,0.7065181788404847,0.3704663212435233,0.7197986577181208,0.48916761687571264,0.572482636876826
f_13,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.809009009009009,0.8214838231943494,0.026446364709405777,0.05104925651369689,0.7445030862994614,0.8051097281362594,0.5384615384615384,0.01174496644295302,0.022988505747126436,0.37156574835791234
f_13,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8008599508599508,0.48747377352919397,0.39945827387558797,0.43885961732722006,0.7703877419540585,0.8060923681624631,0.5044444444444445,0.3808724832214765,0.4340344168260038,0.5030908254444901
f_13,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7748157248157248,0.4225679664775738,0.4154123284533939,0.418129015800499,0.7100084616267727,0.7792335407795611,0.43543046357615894,0.4412751677852349,0.43833333333333335,0.49288933713500416
f_13,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7073710073710073,0.35118630521810157,0.5898472596585804,0.4402325501995099,0.7268864671100477,0.7091385522436947,0.3562992125984252,0.6073825503355704,0.4491315136476427,0.5201638424889434
